BUS STOP ID,STOP_NAME,DESCRIPTION,LATITUDE,LONGITUDE,# BENCHES,# TRASHCANS,# SHELTERS,SHELTER_TYPE,# BIKERACKS
627,Southbound NE 9th Street @ NE 7th Avenue,Southbound NE 9th ST @ Nearside NE 7th AVE,29.65863077,-82.31484769,1,0,0,,0
629,Southbound NE 9th Street @ NE 5th Avenue,Southbound NE 9th ST @ Nearside NE 5th AVE,29.6557811,-82.31483569,0,0,0,,0
630,Southbound NE 9th Street @ NE 3rd Avenue,Southbound NE 9th ST @ Nearside NE 3rd AVE,29.65409046,-82.31481333,1,1,0,,0
632,Florida School of Traditional Midwifery,Westbound E University AVE @ Farside NE 8th ST,29.6520268,-82.3163835,0,0,0,,0
634,Alachua County School Board Administration,Westbound E University AVE @ Nearside NE BLVD,29.65202366,-82.31964026,0,0,0,,0
635,Gateway at Gainesville Apartments,Southbound SW 37th BLVD @ Farside SW 38th ST,29.61759163,-82.37774121,3,1,1,Metal,0
636,Greenwich Green Apartments,Eastbound SW 37th BLVD @ Nearside SW 34th ST,29.61756878,-82.37463434,2,1,1,Metal,0
637,Aspen Ridge Apartments,Northbound SW 34th ST @ Farside SW 37th BLVD,29.61839299,-82.37233827,1,1,0,,0
642,University Terrace Condominiums,Northbound SW 34th ST @ Nearside SW 39th BLVD,29.61700561,-82.37215334,2,1,1,Wood,0
643,Ridgemar Apartments,Northbound SW 34th ST @ Nearside SW 35th AVE,29.62049311,-82.37252117,1,0,0,,0
644,Kangaroo @ SW 34th Street,Northbound SW 34th ST @ Farside SW 35th AVE,29.62244298,-82.3725812,0,0,0,,0
645,University Town Center,Northbound SW 34th ST @ Nearside Archer RD,29.62401594,-82.37227067,2,1,1,Concrete,0
652,Shands Hospital @ Helipad,Eastbound Shealy DR @ Farside Archer RD,29.63552261,-82.35100218,0,0,0,,0
653,Shands Hospital @ Parking Garage 9,Northbound Gale Lemerand DR @ Nearside Archer RD,29.63632261,-82.35007435,0,0,0,,0
654,Shands Hospital @ Davis Cancer Pavilion,Northbound Gale Lemerand DR @ Farside Archer RD,29.63775453,-82.35024279,0,0,0,,0
658,Shands Hospital @ Davis Cancer Pavilion,Southbound Gale Lemerand DR @ Nearside Archer RD,29.63768794,-82.35042318,0,0,0,,0
659,Shands Hospital @ Parking Garage 9,Southbound Gale Lemerand DR @ Farside Archer RD,29.63598909,-82.3501354,1,2,0,,0
660,Shands Hospital @ Helipad,Westbound Shealy DR @ Farside SW 16TH AVE,29.63550244,-82.35124418,0,0,0,,0
661,Regions Bank @ SW 37th Boulevard,Southbound SW 37th BLVD @ Nearside SW 38th ST,29.6193362,-82.379308,1,1,0,,0
662,McKnight Brain Institute,Southbound Newell DR @ Farside Museum RD,29.64244602,-82.3437283,2,0,1,Metal,0
663,UF Health Pediatric ER,Southbound Newell DR @ Nearside SW Archer RD,29.64099944,-82.34266468,0,0,0,,0
664,UF Health Shands North Tower,Southbound Newell DR @ Nearside SW Archer RD,29.63983377,-82.34194935,2,0,0,,0
666,Health Science Center Administration,Southbound SW 16th ST @ Nearside SW 16th AVE,29.63739039,-82.3430339,1,1,0,,0
667,Summit House Condominiums,Eastbound SW 16th AVE @ Farside SW 16th ST,29.63574727,-82.34248185,1,1,1,Metal,0
668,Ronald McDonald House of Gainesville,Eastbound SW 16th AVE @ Nearside SW 14th ST,29.63628827,-82.34034635,0,0,0,,0
669,Liv+ Apartments 13th St,Southbound SW 13th ST @ Farside SW 18th PL,29.6343996,-82.339784,0,0,0,,5
670,Dollar General,Southbound SW 13th ST @ Nearside SW18th PL,29.63212594,-82.33952402,1,1,0,,1
671,Lakeshore Towers Apartments,Southbound SW 13th ST @ Nearside SW 25th PL,29.63032427,-82.33952002,1,0,0,,0
672,Anthem Apartments,Southbound SW 13th ST @ Nearside SW 25th PL,29.62824456,-82.33953338,0,0,0,,0
673,Stayable Select Hotel,Southbound SW 13th ST @ Nearside SW 14th DR,29.62440561,-82.33955502,0,0,0,,0
676,Chop Stix Cafe,Southbound SW 13th ST @ Farside SW 14th DR,29.62091311,-82.34002318,0,0,0,,0
677,The Landings Apartments,Southbound SW 13th ST @ Nearside SW 36th PL,29.618568,-82.340371,0,0,0,,0
678,Circle K @ Williston Road,Southbound SW 13th ST @ Nearside Williston RD,29.61584278,-82.34078552,0,0,0,,0
679,Meridian Behavioral Healthcare,Southbound SW 13th ST @ Farside Williston RD,29.61339898,-82.34114827,1,1,0,,0
680,Bridge House,Southbound SW 13th ST @ Nearside SW 45th LN,29.61141878,-82.34148502,0,0,0,,0
681,US 441 South,Southbound SW 13th ST @ Farside Williston RD,29.60755573,-82.34214467,2,1,1,Metal,0
682,Budget Inn,Northbound SW 13th ST @ Nearside Williston RD,29.61186779,-82.34110907,1,1,0,,0
683,Meridian Behavioral Healthcare,Northbound SW 13th ST @ Nearside Williston RD,29.61310682,-82.34090362,1,1,0,,0
684,Residence Inn,Northbound SW 13th ST @ Farside Williston RD,29.61571461,-82.34047902,1,1,0,,0
685,The Landings Apartments,Northbound SW 13th ST @ Farside SW 36th PL,29.61867278,-82.34007793,4,1,1,Concrete,0
686,CDS Family and Behavioral Services,Northbound SW 13th ST @ Nearside SW 36th PL,29.62037778,-82.33979885,1,0,0,,0
687,Bivens Cove Apartments,Northbound SW 13th ST @ Nearside SW 36th PL,29.62204928,-82.33955718,2,1,1,Metal,0
688,Tanglewood Apartments,Northbound SW 13th ST @ Nearside SW 14th DR,29.62330344,-82.33934468,2,0,1,Wood,0
689,Boardwalk Apartments,Northbound SW 13th ST @ Farside SW 14th DR,29.62653511,-82.33919952,1,1,1,Metal,0
690,Comfort Suites,Northbound SW 13th ST @ Farside SW 23rd PL,29.62784128,-82.33919702,1,1,1,Metal,1
692,Village Square,Northbound SW 13th ST @ Farside SW 25th PL,29.63028527,-82.33917835,1,0,0,,0
693,home2 Suites by Hilton,Northbound SW 13th ST @ Nearside SW 21st AVE,29.63199121,-82.33916864,1,1,0,,2
695,Oakbrook Walk Condominiums,Northbound SW 13th ST @ Nearside SW 14th AVE,29.63820861,-82.33924168,1,1,1,Metal,0
696,University Police Department,Southbound Newell DR @ Farside Museum RD,29.64427811,-82.34360852,0,3,1,Metal,0
697,Masonic Temple,Northbound N Main ST @ Farside NE 2nd AVE,29.6536971,-82.32489588,1,0,0,,0
699,Alachua County Supervisor of Elections,Northbound N Main ST @ Farside NE 6th AVE,29.65633995,-82.32492072,1,0,0,,0
700,Fire Stone @ N Main Street,Northbound N Main ST @ Nearside NE 8th AVE,29.6584631,-82.32491302,0,0,0,,0
701,CVS Pharmacy @ N Main Street,Northbound N Main ST @ Nearside NE 10th AVE,29.66049843,-82.32444935,1,1,0,,0
703,US Post Office @ Main St,Northbound N Main ST @ Nearside NE 14th AVE,29.66387345,-82.32445589,1,1,0,,0
704,Kangaroo @ N Main St,Northbound N Main ST @ Nearside NE 16th AVE,29.66639816,-82.32439379,1,1,0,,0
706,Laundry Mart,Northbound NE 2nd ST @ Farside NE 16th AVE,29.66719093,-82.32174419,0,0,0,,0
707,Pine Grove Apartments,Northbound NE 2nd ST @ Nearside NE 21st LN,29.67021427,-82.32110185,2,1,1,Metal,0
709,McCoy Court Apartments,Northbound NE 2nd ST @ Nearside NE 23rd AVE,29.67283582,-82.31968416,1,1,0,,0
710,Pointe 23 Apartments,Eastbound NE 23rd AVE @ Nearside NE 7th ST,29.67378524,-82.31758574,0,0,0,,0
711,Chelsea Apartments (across),Eastbound NE 23rd AVE @ Nearside NE 9th ST,29.67375243,-82.31500719,0,0,0,,0
713,NE 23rd Avenue @ NE 11th Terrace,Eastbound NE 23rd AVE @ Farside NE 11th TER,29.67375829,-82.31113343,0,0,0,,0
714,Boulware Charter School,Eastbound NE 23rd AVE @ Nearside NE 14th ST,29.6738115,-82.3082771,0,0,0,,0
715,Smokey Bear Park,Northbound NE 15th ST @ Farside NE 23rd AVE,29.6744987,-82.30576321,1,1,0,,0
716,NE 28th Avenue @ NE 15th Street,Northbound NE 15th ST @ Nearside NE 28th AVE,29.67695043,-82.30573086,1,0,0,,0
718,Northbound NE 15th Street @ NE 31st Avenue,Northbound NE 15th ST @ Farside NE 31st AVE,29.68176926,-82.30572686,1,0,0,,0
719,Village Green Apartments,Northbound NE 15th ST @ Farside NE 31st AVE,29.68344393,-82.30573036,1,1,0,,0
720,Fearnside Family Services Center (across),Northbound NE 15th ST @ Nearside NE 39th AVE,29.68617643,-82.30571675,1,0,0,,0
721,NE 39th Ave @ Farside NE 15th St Westbound,Westbound NE 39th AVE @ Farside NE 15th ST,29.68849793,-82.30653636,0,0,0,,0
722,Eden Park at Ironwood,Westbound NE 39th AVE @ Farside NE 14th ST,29.68850943,-82.30882702,2,0,1,Metal,0
723,Highland Court,Westbound NE 39th AVE @ Nearside NE 11th TER,29.68850162,-82.31090454,0,0,0,,0
724,Westbound NE 39th Ave at Main St - Gsville Nissan,Westbound NE 39th AVE @ Nearside N Main ST,29.68853119,-82.3190974,0,0,0,,0
725,Pine Forest Homes,Westbound NE 39th AVE @ Nearside NE 2nd WAY,29.68854493,-82.32219802,1,1,0,,0
726,Bella Vista Village,Westbound NW 39th AVE @ Nearside NW 1st TER,29.6885893,-82.32541806,1,1,0,,0
727,Oasis Carwash,Westbound NW 39th AVE @ Nearside NW 6th ST,29.68860624,-82.32784941,0,0,0,,0
728,Stephen Foster Elementary School,Southbound NW 6th ST @ Farside NW 39th Ave,29.68760476,-82.33084502,1,0,0,,0
729,Southbound SW 6th Street @ NW 36th Avenue,Southbound NW 6th ST @ Nearside NW 35th AVE,29.68522298,-82.3308343,0,0,0,,0
730,Southbound NW 6th Street @ NW 32nd Place,Southbound NW 6th ST @ Nearside NW 32nd PL,29.6826802,-82.3308331,0,0,0,,0
732,Oak Gate Condominiums,Southbound NW 6th ST @ Nearside NW 29th AVE,29.6790414,-82.33083986,3,1,1,Concrete,0
733,Bel Air Apartments,Southbound NW 6th ST @ Nearside NW 26th AVE,29.6767264,-82.33087871,1,1,0,,0
735,Renas Let's Dance,Westbound NW 23rd AVE @ Farside NW 6th ST,29.6740139,-82.33220089,0,0,0,,0
736,Wesley United Methodist Church,Westbound NW 23rd AVE @ Nearside NW 10th ST,29.67402143,-82.33483968,1,0,0,,0
737,Wawa @ NW 13th St,Westbound NW 23rd AVE @ Farside NW 12th ST,29.67405258,-82.338429,1,1,0,,0
738,Greenoak Villa Assisted Living,Eastbound NW 39th AVE @ Farside NW 12th ST,29.68841943,-82.33674985,1,0,0,,0
739,Eastbound NW 39th Avenue @ NW 10th Street,Eastbound NW 39th AVE @ Farside NW 10th ST,29.68842063,-82.33446234,0,0,0,,0
740,Stephen Foster Elementary School @ 39th Ave,Eastbound NW 39th AVE @ Nearside NW 7th ST,29.68842759,-82.33178468,1,1,0,,0
741,Gainesville Public Works,Eastbound NW 39th AVE @ Farside NW 6th ST,29.68836234,-82.3278297,1,0,0,,0
742,Bella Vista Village (across),Eastbound NW 39th AVE @ Farside NW 1st TER,29.68833519,-82.32524606,1,1,0,,0
743,Pine Forest Homes,Eastbound NW 39th AVE @ Nearside NE 2nd ST,29.68831662,-82.32263953,2,1,1,Metal,0
744,Wade Raulerson Honda Dealership,Eastbound NE 39th AVE @ Farside N Main ST,29.68830659,-82.31852102,0,0,0,,0
745,Highland Court Manor,Eastbound NE 39th AVE @ Nearside NE 12th ST,29.6882554,-82.31056087,0,0,0,,0
746,Eden Park Apartments,Eastbound NE 39th AVE @ Nearside NE 14th ST,29.68824885,-82.30778442,1,1,0,,0
748,Fearnside Family Services Center,Southbound NE 15th ST @ Farside NE 39th AVE,29.68657478,-82.30584958,1,1,1,Metal,0
749,Village Green Apartments,Southbound NE 15th ST @ Farside NE 31st AVE,29.68351123,-82.30587477,1,1,1,Metal,0
750,Southbound NE 15th Street @ NE 31 Avenue,Southbound NE 15th ST @ Nearside NE 31st AVE,29.68161311,-82.30586818,1,1,0,,0
752,NE 15th Street @ NE 26th Avenue,Southbound NE 15th ST @ Nearside NE 26th AVE,29.67664757,-82.30587685,1,1,0,,0
753,Smokey Bear Park,Southbound NE 15th ST @ Nearside NE 23rd AVE,29.6744329,-82.30591868,1,0,0,,0
754,NE 23rd Ave Farside NE 14th St Westbound,Westbound NE 23rd AVE @ Farside NE 14th ST,29.67389393,-82.30806669,0,0,0,,0
755,Highland Court Manor Neighborhood @ NE 23rd Avenue,Westbound NE 23rd AVE @ Nearside NE 11th TER,29.67391697,-82.31115488,1,1,0,,0
756,Westbound NE 23rd Avenue @ NE 9th Street,Westbound NE 23rd AVE @ Nearside NE 9th ST,29.67393235,-82.31461884,1,1,0,,0
757,Pointe 23 Apartments,Westbound NE 23rd AVE @ Farside NE 7th TER,29.67394919,-82.31690735,1,1,0,,0
758,David's BBQ,Southbound NE 2nd ST @ Farside NE 23rd AVE,29.67285138,-82.31984135,1,1,0,,0
759,Pine Grove Apartments,Southbound NE 2nd ST @ Farside NE 21st LN,29.67009777,-82.32138135,1,0,0,,0
760,Laundry Mart,Southbound NE 2nd ST @ Nearside NE 16th AVE,29.66733977,-82.32189769,0,0,0,,0
761,Sandwich Inn @ NE 16th Ave,Westbound NE 16th AVE @ Nearside NE 2nd ST,29.6666841,-82.32311485,1,1,0,,0
762,Midas @ N Main Street,Southbound N Main ST @ Farside NE 16th AVE,29.66551477,-82.32459102,1,1,0,,0
763,Publix @ N Main Street,Southbound N Main ST @ Farside NE 14th AVE,29.66376429,-82.32458618,1,2,1,Metal,0
764,Gainesville Shopping Center South,Southbound N Main ST @ Nearside NE 10th AVE,29.66158478,-82.32459438,1,1,0,,0
766,Fire Stone @ N Main Street,Southbound N Main ST @ Nearside NE 7th AV,29.65817014,-82.32511322,1,1,0,,0
768,Friends of the Library Alachua County,Southbound N Main ST @ Farside NE 6th AVE,29.65604777,-82.32508802,1,0,0,,2
769,The Collier Companies,Southbound N Main ST @ Nearside NW 2nd AVE,29.65376363,-82.32512619,1,0,0,,0
773,Arbor Park Apartments,Eastbound SW 16th AVE @ Farside SW 6th ST,29.63614297,-82.32912344,0,1,0,,0
774,Treehouse Village Apartments,Eastbound SE 16th AVE @ Farside S Main ST,29.63272711,-82.32607719,0,0,0,,0
775,Sweetwater on 16th Apartments,Eastbound SE 16th AVE @ Nearside Williston RD,29.6309677,-82.325332,0,0,0,,0
776,Spring Hill Church,Northbound Williston RD @ Farside SE 1st ST,29.6326208,-82.3202673,0,0,0,,0
782,Boys & Girls Club of Alachua County,Northbound SE 20th PL @ Nearside SE 4th ST,29.63267161,-82.31593452,1,1,0,,0
783,Chevron Gas Station @ Williston Road,Southbound Williston RD @ Farside SE 4th ST,29.63507215,-82.31778641,1,1,0,,0
784,Southbound Williston Road @ SE 1st Terrace,Southbound Williston RD @ Nearside SE 1st TER,29.63414577,-82.31912336,1,0,0,,0
